name;score
"Ukraine";69019,94387808949
"Russia";41039,20216383962
"war";18548,198504922042
"force";18518,969492196036
"people";15029,308667996644
"US";14574,3952582594
"ukrainian";13061,51947647201
"President";11844,156075474906
"invasion";11263,549820140006
"president";10748,294639643094
"leader";10095,857683282968
"troop";9915,157480490305
"city";9788,38641244718
"Kremlin";9786,957064069215
"border";9556,37373857009
"Europe";8250,411935479193
"region";8249,655933668028
"west";8201,64246581506
"kyiv";7940,8966271056115
"minister";7528,706699486189
"missile";6994,299682319458
"claim";6951,341921918727
"Moscow";6360,878479176379
"nation";6115,112651761779
"Friday";6026,2531901190605
"attack";5806,735680440329
"NATO";5752,250568898098
"defence";5487,747044605554
"alliance";5433,9437029488845
"sanction";5407,212112553429
"day";5309,848598406616
"warn";5070,514569187724
"country";5034,224406597344
"election";5021,2950540465345
"government";4879,021509862157
"world";4623,33287546724
"Putin";4502,457788769321
"Thursday";4174,392000792182
"Vladimir";3991,484650314522
"month";3988,2310007255055
"year";3949,803362454596
"action";3897,522085667179
"security";3612,6148925150496
"power";3419,224257978844
"Britain";3382,340279270439
"cent";3368,8686765948637
"vehicle";3335,2251110977672
"crisis";3250,389468546424
"new";3149,5246152354416
"eu";3076,8265980273263
"ally";3065,241618558465
"Viktor";2978,744626663265
"risk";2953,2127159312117
"target";2845,4043725772594
"air";2800,890435134245
"agreement";2677,814613484917
"capital";2635,64885402738
"Nato";2602,106889866092
"aggression";2597,6086058334245
"research";2541,129760560665
"week";2457,6322100339084
"official";2410,046580737578
"call";2401,112439141684
"order";2398,8936622072856
"talk";2299,6510093510124
"donetsk";2292,691326981315
"state";2244,253135382678
"address";2182,919226838817
"personnel";2168,3163427057843
"strike";2107,017501409914
"family";2053,4483848403215
"time";1950,9495156677465
"Zelensky";1909,8034209477823
"decision";1816,922974482802
"policy";1762,3456447539124
"trigger";1756,7605992108442
"secretary";1752,9744310083722
"area";1713,6552213313867
"China";1707,414019154446
"opposition";1689,4631102327476
"figure";1687,6218835339778
"Australia";1673,1333826453856
"army";1669,525618772077
"base";1638,0434692365275
"wave";1610,5512230711377
"member";1582,643498873435
"operation";1574,3658482416688
"interior";1550,0046246799016
"land";1464,866277243684
"price";1455,8345119523854
"media";1335,9966292568647
"Germany";1301,328043573399
"meet";1273,0509770906795
"demand";1255,5936681012545
"Johnson";1163,3111728959093
"fire";1133,1631388968522
"russian";1120,79698236022
"flag";1110,1510459939832
"plane";1090,2242291886796
"sea";1053,4796966976462
"market";1039,8305992398255
"deal";1026,8557437340307
"Crimea";1020,144061130129
"Belarus";990,8173938921284
"responsibility";976,9777563948587
"history";942,7970520107949
"membership";939,1251846824917
"stream";910,8394748612911
"step";899,8723688320148
"partner";897,0485155122485
"south";882,6630876943186
"death";866,2711563672902
"bank";856,2632764189763
"island";849,2065324631532
"association";825,2062557519565
"republics";806,4281106520114
"parliament";799,4733058598292
"union";768,9936685393398
"end";766,2371409403003
"decade";765,8296954689572
"airport";753,5598935236447
"message";736,2796686086099
"citizen";719,3974008915234
"promise";718,9755522883995
"March";718,1870464116436
"gunfire";710,2404829085419
"house";684,5527236689924
"exercise";684,1308905741292
"threat";669,4569805686118
"genocide";663,4346459986481
"elite";661,3397432444679
"ship";630,2532442796241
"back";619,2159099271839
"ga";619,0716048212277
"response";611,304092239805
"independence";608,7772567147799
"United";603,7367452998773
"States";603,7367452998773
"July";591,6439490875479
"offer";589,9974425442555
"video";564,7803960280152
"solution";557,3515439713123
"attempt";547,311655225594
"build";514,9343968828942
"position";514,0069092836413
"soldier";509,36330593905154
"guard";478,6546210831855
"explosion";475,0213595958608
"population";450,9599244025549
"Anton";448,6526351862188
"opinion";443,6394723415057
"recognition";424,9149883988905
"Monday";418,58860936661165
"night";418,58860936661165
"Joe";416,7322368874111
"north";411,1547423504819
"objective";407,25206536308156
"economy";398,46434632862827
"measure";393,40482195766134
"direction";364,70165474231214
"motive";364,28592812144467
"shield";363,36231907347053
"delegation";346,1136547761762
"part";333,2941265511781
"cooperation";330,88433574796
"way";321,6117201404104
"date";320,3713279786336
"event";318,5137850573519
"council";310,5984064565315
"shelter";307,9432906148634
"morn";295,4717022494057
"conflict";292,96574891679654
"east";291,5050200324415
"agency";290,9508198230256
"enemy";270,7486450575504
"reporter";263,1799110829358
"trade";257,55782142033286
"principle";255,8959467544601
"effort";247,8119095543806
"bomb";237,9106327470322
"Nord";235,80066315066165
"pipeline";234,64055507461882
"plan";226,84898575965363
"district";224,96001805297485
"flank";209,5402414675215
"scale";196,90101796804166
"lie";190,52985849189685
"Kravchuk";190,42493657418987
"Leonid";182,59016077564058
"ambassador";179,40723467746096
"resolution";178,87298470201247
"kilometre";173,8821154134519
"republic";172,94769894411706
"chief";169,91099697017603
"home";167,13575224044322
"head";167,1197632661972
"protest";161,01540401558074
"horror";160,87132365676513
"present";155,96851919653838
"Chernobyl";148,6502906621641
"defeat";137,3701432074621
"press";136,6949479417833
"moment";136,69018881239356
"quarter";134,1149609217954
"fight";132,54498676054297
"pledge";119,28712395518191
"future";114,61407977372016
"Biden";112,86219323931051
"plant";106,96100376152323
"xi";105,76683000753418
"Poland";101,94263102427311
"destruction";99,63061036485557
"Yushchenko";98,81377526066845
"help";95,97643562783685
"Minsk";93,42337682026802
"path";92,71187889030074
"advice";90,43917113472985
"civilian";89,9276999632079
"solidarity";89,26576589810374
"activity";88,32966964337994
"statehood";80,03965966488029
"fact";79,77791233158709
"number";79,51815475713278
"accusation";79,08052174890256
"move";73,06260676089443
"Canada";64,38495222556742
"2014";63,08007036484767
"side";60,65403670922779
"prayer";59,8519106412725
"Antony";59,50221545173251
"Blinken";59,50221545173251
"siege";59,50221545173251
"conference";57,702237467445826
"chancellor";54,87528698550898
"Olaf";54,87528698550898
"Scholz";54,87528698550898
"Emmanuel";52,38766115820143
"rhetoric";52,19867464270284
"feel";52,19867464270284
"zelensky";50,960607146620575
"loss";50,19442903526488
"life";50,19442903526488
"suffer";50,19442903526488
"front";49,52709106360712
"advance";49,52709106360712
"guarantee";49,05197736673591
"Eurasia";48,472482000528544
"programme";48,472482000528544
"Chatham";48,472482000528544
"status";47,88507339936779
"Boris";47,137809877021205
"France";45,012192925474096
"appeal";42,50917264042091
"whole";41,274866398076554
"majority";40,188035536435436
"favour";40,188035536435436
"Michael";40,18340141045543
"Carpenter";40,18340141045543
"guilt";38,06939684941349
"individual";36,285822344116006
"reality";34,77799622092601
"assessment";34,54007865789059
"package";33,85814512556298
"party";33,71395833549075
"intimidation";31,88868263845394
"infrastructure";31,59895931870852
"opponent";31,59895931870852
"puppet";29,65592403424994
"Antonov";29,298923644082056
"cause";26,463819531718226
"church";26,240508297625915
"good";23,821190115807727
"service";23,821190115807727
"travel";23,821190115807727
"pack";23,322365585705565
"coast";20,627227388092802
"envoy";20,55556806335818
"August";20,107944757022153
"plot";19,229129150936437
"series";18,769336169020693
"preparation";18,769336169020693
"involvement";17,347351805826985
"Wallace";16,60988612761732
"exchange";16,52986678368009
"lease";16,52986678368009
"navy";16,52986678368009
"port";16,52986678368009
"department";14,802248652508938
"american";14,802248652508938
"April";14,778700498241747
"top";12,418521479113311
"penalty";12,418521479113311
"anthem";11,507007200086512
"unison";11,507007200086512
"root";11,104194512340909
"diplomacy";10,885418922289158
"actor";10,883681058240537
"kremlin";8,823318543628117
"declaration";7,078346228271616
"snake";6,842119680412597
"mouth";6,842119680412597
"Danube";6,842119680412597
"vision";6,832226215272954
"Daniel";5,869390481809125
"Keane";5,869390481809125
"draft";5,598852745081567
"rival";5,403276600818782
"work";5,095560738454357
"November";4,700146331667563
"ty";4,700146331667563
"traffic";4,459548844401786
"Justin";4,225077070965269
"Trudeau";4,225077070965269
"stock";4,135467136778235
"oil";4,135467136778235
"adviser";4,0
"aircraft";3,921381729949506
"corruption";3,675997769445229
"dawn";3,410746606334842
"aviation";3,2749204139974695
"Donald";2,8747051722473542
"Trump";2,8747051722473542
"proxy";2,7988072715293546
"sky";2,719757727652464
"worker";1,9281956585230722
"combat";1,1671963387926385
"arm";1,1671963387926385
"surrender";1,1671963387926385
"reply";1,1671963387926385
"F";1,1671963387926385
"second";1,1671963387926385
"european";1,1554521685143915
"Zelenskys";1,1554521685143915
"whereabout";1,1554521685143915
"race";0,7008678167923519
"son";0,7008678167923519
"Hunter";0,7008678167923519
"business";0,7008678167923519
"Ursula";0,7008678167923519
"von";0,7008678167923519
"der";0,7008678167923519
"Leyen";0,7008678167923519
"name";0,3869565217391304
"humanity";0,3869565217391304
"rage";0,0
"AP";0,0
"spokesman";0,0
"Dmitry";0,0
"Peskov";0,0
"diplomat";0,0
"caution";0,0
"condition";0,0
"phone";0,0
"propaganda";0,0
"authority";0,0
"snowplow";0,0
"limit";0,0
"movement";0,0
"spy";0,0
"military";0,0
"line";0,0
"car";0,0
"bridge";0,0
"river";0,0
"casualty";0,0
"toll";0,0
"UN";0,0
"shell";0,0
"airstrike";0,0
"list";0,0
"ambition";0,0
"report";0,0
"source";0,0
"word";0,0
"outlet";0,0
"Magdalena";0,0
"Andersson";0,0
"goodbye";0,0
"capture";0,0
"assassination";0,0
"hand";0,0
"drug";0,0
"addict";0,0
"neo-nazis";0,0
"nationalist";0,0
"children";0,0
"wive";0,0
"elder";0,0
"expectation";0,0
"focus";0,0
"kill";0,0
"officer";0,0
"Ben";0,0
"spetsnaz";0,0
"timeline";0,0
"referendum";0,0
"elect";0,0
"Kuchma";0,0
"observer";0,0
"vote";0,0
"irregularity";0,0
"candidate";0,0
"Yanukovich";0,0
"allegation";0,0
"revolution";0,0
"re-run";0,0
"orbit";0,0
"energy";0,0
"company";0,0
"boss";0,0
"in-fight";0,0
"camp";0,0
"yanukovich";0,0
"rally";0,0
"square";0,0
"turn";0,0
"businessman";0,0
"agenda";0,0
"passenger";0,0
"route";0,0
"Amsterdam";0,0
"Kuala";0,0
"Lumpur";0,0
"board";0,0
"investigator";0,0
"weapon";0,0
"servant";0,0
"trump";0,0
"lockdown";0,0
"June";0,0
"IMF";0,0
"lifeline";0,0
"stave";0,0
"default";0,0
"recession";0,0
"Jan";0,0
"Feb";0,0
"spring";0,0
"mass";0,0
"train";0,0
"Oct";0,0
"2021";0,0
"bayraktar";0,0
"drone";0,0
"autumn";0,0
"Dec";0,0
"hit";0,0
"drill";0,0
"standby";0,0
"fighter";0,0
"jet";0,0
"Washington";0,0
"commitment";0,0
"discussion";0,0
"concern";0,0
"Romania";0,0
"spillover";0,0
"Beijing";0,0
"winter";0,0
"olympics";0,0
"support";0,0
"French";0,0
"Macron";0,0
"hope";0,0
"visit";0,0
"sang-froid";0,0
"zelenskiy";0,0
"thing";0,0
"national";0,0
"russian-back";0,0
"organization";0,0
"summit";0,0
"regime";0,0
"sign";0,0
"UK";0,0
"asset";0,0
"certification";0,0
"approval";0,0
"television";0,0
"demilitarise";0,0
"peace";0,0
"hour";0,0
"siren";0,0
"resident";0,0
"refuge";0,0
"raid";0,0
"aim";0,0
"town";0,0
"mile";0,0
"timetable";0,0
"contrary";0,0
"site";0,0
"ministry";0,0
"advisor";0,0
"Gerashchenko";0,0
"shot";0,0
"invader";0,0
"warplane";0,0
"object";0,0
"apartment";0,0
"block";0,0
"rocket";0,0
"sumy";0,0
"northeast";0,0
"America";0,0
"Japan";0,0
"blocs";0,0
"pressure";0,0
"refusal";0,0
"assault";0,0
"withdrawal";0,0
"tank";0,0
"roll";0,0
"culmination";0,0
"neighbour";0,0
"metro";0,0
"station";0,0
"question";0,0
"mind";0,0
"remain";0,0
"charge";0,0
"game";0,0
"section";0,0
"chess";0,0
"master";0,0
"cost";0,0
"uncertainty";0,0
"expansion";0,0
"raise";0,0
"anxiety";0,0
"Hungary";0,0
"objection";0,0
"affair";0,0
"William";0,0
"J";0,0
"Burns";0,0
"act";0,0
"moratorium";0,0
"ground";0,0
"dilemma";0,0
"annexation";0,0
"poll";0,0
"rate";0,0
"group";0,0
"aspiration";0,0
"survey";0,0
"pew";0,0
"center";0,0
"spirit";0,0
"culture";0,0
"tragedy";0,0
"drift";0,0
"speech";0,0
"narrative";0,0
"product";0,0
"planner";0,0
"Lenin";0,0
"embrace";0,0
"expert";0,0
"presence";0,0
"function";0,0
"fear";0,0
"territory";0,0
"theatre";0,0
"battlefield";0,0
"Nikolai";0,0
"fellow";0,0
"annex";0,0
"rebel";0,0
"uprise";0,0
"luhansk";0,0
"establishment";0,0
"evacuation";0,0
"speaker";0,0
"period";0,0
"russification";0,0
"textbook";0,0
"school";0,0
"2019";0,0
"passport";0,0
"inhabitant";0,0
"estimate";0,0
"citizenship";0,0
"justification";0,0
"pretext";0,0
"evidence";0,0
"application";0,0
"process";0,0
"requirement";0,0
"assistance";0,0
"bloc";0,0
"amendment";0,0
"opportunity";0,0
"contribution";0,0
"mission";0,0
"account";0,0
"dispute";0,0
"instability";0,0
"anytime";0,0
"shock";0,0
"institution";0,0
"bloodsh";0,0
"emergency";0,0
"cobra";0,0
"commission";0,0
"stability";0,0
"term";0,0
"place";0,0
"distance";0,0
"street";0,0
"possibility";0,0
"run";0,0
"pm";0,0
"Scott";0,0
"Morrison";0,0
"law";0,0
"effect";0,0
"reason";0,0
"secretary-general";0,0
"Antonio";0,0
"Guterres";0,0
"tenure";0,0
"begine";0,0
"century";0,0
"sense";0,0
"Jens";0,0
"Stoltenberg";0,0
"aid";0,0
