name;score;marked;communityId;occur;relationships
"Ukraine";164649,37805984536;NULL;NULL;NULL;NULL
"Russia";114255,70070616185;NULL;NULL;NULL;NULL
"war";77629,82364749209;NULL;NULL;NULL;NULL
"people";74539,63707467473;NULL;NULL;NULL;NULL
"city";65951,50405177801;NULL;NULL;NULL;NULL
"invasion";58821,56262418557;NULL;NULL;NULL;NULL
"force";58422,29021850295;NULL;NULL;NULL;NULL
"country";53460,90087888914;NULL;NULL;NULL;NULL
"day";46050,921208872365;NULL;NULL;NULL;NULL
"president";45501,881064056644;NULL;NULL;NULL;NULL
"world";41301,93398768262;NULL;NULL;NULL;NULL
"attack";39441,059517046175;NULL;NULL;NULL;NULL
"March";37267,78436143519;NULL;NULL;NULL;NULL
"troop";35355,503814592754;NULL;NULL;NULL;NULL
"US";35270,631726886786;NULL;NULL;NULL;NULL
"UK";34504,285566101615;NULL;NULL;NULL;NULL
"time";31789,311730942947;NULL;NULL;NULL;NULL
"family";29543,473224189293;NULL;NULL;NULL;NULL
"defence";29503,420835106244;NULL;NULL;NULL;NULL
"ukrainian";29134,62197096398;NULL;NULL;NULL;NULL
"minister";28968,84193612038;NULL;NULL;NULL;NULL
"Vladimir";28725,359537635282;NULL;NULL;NULL;NULL
"border";27370,096190733926;NULL;NULL;NULL;NULL
"part";26072,755260520884;NULL;NULL;NULL;NULL
"civilian";25833,301363402705;NULL;NULL;NULL;NULL
"image";25444,888161313756;NULL;NULL;NULL;NULL
"London";25173,568041467257;NULL;NULL;NULL;NULL
"week";24821,11900535613;NULL;NULL;NULL;NULL
"new";24758,936777982013;NULL;NULL;NULL;NULL
"leader";24598,68294202924;NULL;NULL;NULL;NULL
"shell";23378,901831527477;NULL;NULL;NULL;NULL
"official";23105,505000067224;NULL;NULL;NULL;NULL
"fight";23044,70105047243;NULL;NULL;NULL;NULL
"sanction";22999,146023488134;NULL;NULL;NULL;NULL
"kyiv";22503,01544351528;NULL;NULL;NULL;NULL
"group";21756,771908033163;NULL;NULL;NULL;NULL
"government";21322,36932527004;NULL;NULL;NULL;NULL
"video";20779,20813617415;NULL;NULL;NULL;NULL
"children";20253,110543968538;NULL;NULL;NULL;NULL
"competition";19730,43633375661;NULL;NULL;NULL;NULL
"power";19544,48703276975;NULL;NULL;NULL;NULL
"Europe";19456,649222084558;NULL;NULL;NULL;NULL
"russian";19124,48918972134;NULL;NULL;NULL;NULL
"army";19085,470828384878;NULL;NULL;NULL;NULL
"refugee";19064,255120993315;NULL;NULL;NULL;NULL
"angel";19009,66961207466;NULL;NULL;NULL;NULL
"Putin";18854,559979262674;NULL;NULL;NULL;NULL
"AP";18726,5253841962;NULL;NULL;NULL;NULL
"Getty";18540,071256077223;NULL;NULL;NULL;NULL
"bomb";18363,74369887605;NULL;NULL;NULL;NULL
"security";18347,85240667237;NULL;NULL;NULL;NULL
"ministry";17963,40425848312;NULL;NULL;NULL;NULL
"support";17952,133739213943;NULL;NULL;NULL;NULL
"Monday";17680,7267937131;NULL;NULL;NULL;NULL
"conflict";17557,439989144117;NULL;NULL;NULL;NULL
"way";17494,74822474876;NULL;NULL;NULL;NULL
"report";17268,014771338632;NULL;NULL;NULL;NULL
"missile";17242,68028524099;NULL;NULL;NULL;NULL
"year";16596,02960320182;NULL;NULL;NULL;NULL
"soldier";16427,825288026248;NULL;NULL;NULL;NULL
"west";16412,944201855214;NULL;NULL;NULL;NULL
"office";16369,67758214142;NULL;NULL;NULL;NULL
"weapon";16169,790738331905;NULL;NULL;NULL;NULL
"member";15946,70202410006;NULL;NULL;NULL;NULL
"Nato";15853,953346701652;NULL;NULL;NULL;NULL
"call";15643,21877951524;NULL;NULL;NULL;NULL
"President";15602,232210686132;NULL;NULL;NULL;NULL
"capital";15467,817224641458;NULL;NULL;NULL;NULL
"state";15395,272514300143;NULL;NULL;NULL;NULL
"home";15358,673187428298;NULL;NULL;NULL;NULL
"media";15284,906264989995;NULL;NULL;NULL;NULL
"house";14882,6270265722;NULL;NULL;NULL;NULL
"crisis";14872,957027176297;NULL;NULL;NULL;NULL
"plan";14670,068498878181;NULL;NULL;NULL;NULL
"Kremlin";14395,246905554135;NULL;NULL;NULL;NULL
"build";14185,765152753265;NULL;NULL;NULL;NULL
"region";14156,503305786857;NULL;NULL;NULL;NULL
"Johnson";14139,052073564188;NULL;NULL;NULL;NULL
"air";14116,636565374252;NULL;NULL;NULL;NULL
"Thursday";14018,92575146943;NULL;NULL;NULL;NULL
"food";13949,829018352808;NULL;NULL;NULL;NULL
"February";13570,50340371986;NULL;NULL;NULL;NULL
"strike";13562,503247656185;NULL;NULL;NULL;NULL
"hour";13394,145686720814;NULL;NULL;NULL;NULL
"winner";13369,504763172086;NULL;NULL;NULL;NULL
"Friday";13329,372612874538;NULL;NULL;NULL;NULL
"Moscow";13238,05749869015;NULL;NULL;NULL;NULL
"operation";13202,62931637689;NULL;NULL;NULL;NULL
"sham";12927,410076878172;NULL;NULL;NULL;NULL
"service";12896,074908208853;NULL;NULL;NULL;NULL
"statement";12637,858492407631;NULL;NULL;NULL;NULL
"referendum";12603,978948115073;NULL;NULL;NULL;NULL
"secretary";12461,605894329628;NULL;NULL;NULL;NULL
"area";12420,809236922027;NULL;NULL;NULL;NULL
"talk";12334,553988338379;NULL;NULL;NULL;NULL
"supply";12197,140327801368;NULL;NULL;NULL;NULL
"morn";12195,466883062434;NULL;NULL;NULL;NULL
"station";12119,480474896638;NULL;NULL;NULL;NULL
"Poland";12105,423837595821;NULL;NULL;NULL;NULL
"action";12054,606464418464;NULL;NULL;NULL;NULL
"standard";11970,318220066183;NULL;NULL;NULL;NULL
"appeal";11930,853411948377;NULL;NULL;NULL;NULL
"picture";11889,085031199864;NULL;NULL;NULL;NULL
"effort";11779,259805667802;NULL;NULL;NULL;NULL
"mariupol";11609,1437121079;NULL;NULL;NULL;NULL
"port";11459,10460750631;NULL;NULL;NULL;NULL
"number";11424,19419812579;NULL;NULL;NULL;NULL
"centre";11035,165914559728;NULL;NULL;NULL;NULL
"end";10786,931120845678;NULL;NULL;NULL;NULL
"Boris";10633,188758017151;NULL;NULL;NULL;NULL
"energy";10464,553532009873;NULL;NULL;NULL;NULL
"nation";10443,424587069816;NULL;NULL;NULL;NULL
"BBC";10323,985197304766;NULL;NULL;NULL;NULL
"plant";10285,834316203984;NULL;NULL;NULL;NULL
"Wednesday";10149,850663746625;NULL;NULL;NULL;NULL
"hospital";10140,403087133964;NULL;NULL;NULL;NULL
"protest";10046,680181139624;NULL;NULL;NULL;NULL
"place";9989,37064048329;NULL;NULL;NULL;NULL
"situation";9982,191841456739;NULL;NULL;NULL;NULL
"ga";9969,542641234744;NULL;NULL;NULL;NULL
"deputy";9870,546975423185;NULL;NULL;NULL;NULL
"death";9837,374701117289;NULL;NULL;NULL;NULL
"tank";9831,513990033958;NULL;NULL;NULL;NULL
"thing";9827,208143266058;NULL;NULL;NULL;NULL
"even";9809,702238837488;NULL;NULL;NULL;NULL
"night";9791,283303234835;NULL;NULL;NULL;NULL
"town";9775,787749610596;NULL;NULL;NULL;NULL
"company";9642,095906808252;NULL;NULL;NULL;NULL
"head";9619,958628713497;NULL;NULL;NULL;NULL
"meet";9580,148406410608;NULL;NULL;NULL;NULL
"emergency";9468,963091692964;NULL;NULL;NULL;NULL
"history";9408,264852684342;NULL;NULL;NULL;NULL
"future";9285,453366842157;NULL;NULL;NULL;NULL
"price";9206,967607494516;NULL;NULL;NULL;NULL
"Tuesday";9182,806003373278;NULL;NULL;NULL;NULL
"sign";9165,169096405152;NULL;NULL;NULL;NULL
"ground";9140,087038417894;NULL;NULL;NULL;NULL
"vehicle";9135,020294190394;NULL;NULL;NULL;NULL
"UN";9101,988138494886;NULL;NULL;NULL;NULL
"zone";9045,467414444965;NULL;NULL;NULL;NULL
