name;communityId
"aid";627
"sense";623
"begine";622
"century";622
"distance";598
"shock";564
"anytime";563
"account";561
"dispute";561
"mission";559
"Crimea";554
"Friday";554
"Zelensky";554
"action";554
"advice";554
"assassination";554
"assistance";554
"attack";554
"bloc";554
"bloodsh";554
"call";554
"capital";554
"capture";554
"children";554
"elder";554
"invasion";554
"meet";554
"member";554
"membership";554
"minister";554
"nationalist";554
"number";554
"path";554
"plan";554
"possibility";554
"requirement";554
"risk";554
"run";554
"sanction";554
"step";554
"street";554
"target";554
"time";554
"traffic";554
"wive";554
"application";550
"process";550
"evidence";548
"citizenship";544
"inhabitant";542
"Monday";539
"casualty";539
"estimate";539
"figure";539
"night";539
"period";539
"population";539
"region";539
"russification";539
"school";539
"textbook";539
"year";539
"luhansk";531
"Andersson";510
"Biden";510
"Boris";510
"Daniel";510
"Dec";510
"Dmitry";510
"Europe";510
"Jan";510
"Joe";510
"Johnson";510
"Keane";510
"Magdalena";510
"Nato";510
"Peskov";510
"Poland";510
"Putin";510
"Romania";510
"States";510
"US";510
"United";510
"Zelenskys";510
"agency";510
"amendment";510
"bank";510
"battlefield";510
"bomb";510
"border";510
"build";510
"cobra";510
"death";510
"decision";510
"destruction";510
"district";510
"economy";510
"emergency";510
"european";510
"event";510
"fear";510
"fight";510
"guarantee";510
"help";510
"horror";510
"institution";510
"leader";510
"limit";510
"measure";510
"moment";510
"moratorium";510
"morn";510
"movement";510
"objection";510
"package";510
"phone";510
"president";510
"reality";510
"roll";510
"shield";510
"snowplow";510
"speech";510
"spokesman";510
"spy";510
"standby";510
"tank";510
"territory";510
"theatre";510
"timeline";510
"way";510
"whereabout";510
"world";510
"zelensky";510
"center";488
"ground";475
"Amsterdam";461
"Antony";461
"Blinken";461
"Kuala";461
"Lumpur";461
"November";461
"UK";461
"adviser";461
"aircraft";461
"airstrike";461
"apartment";461
"aspiration";461
"authority";461
"block";461
"blocs";461
"culmination";461
"enemy";461
"exchange";461
"fire";461
"future";461
"head";461
"home";461
"kilometre";461
"kyiv";461
"law";461
"lease";461
"missile";461
"neighbour";461
"object";461
"official";461
"pack";461
"passenger";461
"people";461
"place";461
"plane";461
"policy";461
"price";461
"rocket";461
"route";461
"sang-froid";461
"secretary";461
"servant";461
"shell";461
"siege";461
"site";461
"state";461
"uncertainty";461
"video";461
"visit";461
"war";461
"west";461
"zelenskiy";461
"cost";459
"game";453
"family";450
"metro";450
"mind";450
"question";450
"remain";450
"station";450
"troop";450
"withdrawal";435
"northeast";417
"sumy";417
"invader";394
"timetable";381
"mile";379
"town";379
"hour";361
"approval";351
"asset";345
"regime";340
"national";321
"commitment";299
"concern";299
"discussion";299
"fighter";293
"jet";293
"drill";289
"default";269
"recession";269
"stave";269
"lockdown";263
"trump";261
"board";237
"agenda";229
"2014";227
"2021";227
"Antonov";227
"Beijing";227
"Burns";227
"Carpenter";227
"Donald";227
"Emmanuel";227
"Feb";227
"France";227
"Hunter";227
"IMF";227
"J";227
"July";227
"June";227
"Justin";227
"Kravchuk";227
"Leonid";227
"Leyen";227
"Macron";227
"March";227
"Michael";227
"Minsk";227
"Oct";227
"Olaf";227
"President";227
"Scholz";227
"Trudeau";227
"Trump";227
"Ursula";227
"William";227
"Yushchenko";227
"activity";227
"affair";227
"aggression";227
"ambassador";227
"american";227
"annexation";227
"anxiety";227
"autumn";227
"base";227
"boss";227
"business";227
"camp";227
"caution";227
"chancellor";227
"citizen";227
"coast";227
"commission";227
"company";227
"contrary";227
"cooperation";227
"deal";227
"delegation";227
"demand";227
"demilitarise";227
"department";227
"der";227
