name;score;marked;communityId
Ukraine;504,71;TRUE;41
promise;440,35;FALSE;41
Russia;409,89;TRUE;41
missile;288,27;TRUE;52
state;267,12;TRUE;52
invasion;260,83;TRUE;52
US;174,57;FALSE;554
President;157,50;FALSE;55
troop;149,00;TRUE;52
day;133,03;FALSE;41
alliance;132,83;TRUE;41
leader;130,00;TRUE;461
world;129,67;TRUE;461
talk;127,69;TRUE;41
association;124,03;FALSE;41
position;120,00;FALSE;41
market;117,94;FALSE;41
president;117,17;TRUE;461
official;114,02;FALSE;52
risk;111,17;FALSE;554
Putin;92,50;TRUE;554
target;90,57;TRUE;554
government;89,06;TRUE;41
eu;73,82;FALSE;41
union;59,45;FALSE;41
trade;59,13;FALSE;41
member;57,20;FALSE;554
air;54,00;FALSE;35
russian;53,77;FALSE;41
house;53,39;FALSE;41
price;52,67;FALSE;41
April;48,92;FALSE;41
force;48,00;TRUE;35
Thursday;47,00;FALSE;461
attempt;46,50;FALSE;55
Kremlin;46,00;TRUE;150
call;43,97;FALSE;554
attack;43,33;TRUE;461
sanction;39,93;TRUE;554
Nato;34,80;FALSE;554
Johnson;34,27;FALSE;554
head;33,50;FALSE;52
cooperation;32,00;FALSE;55
west;28,29;TRUE;52
bomb;28,17;FALSE;461
interior;28,00;FALSE;35
Germany;26,00;FALSE;4
south;26,00;FALSE;55
bank;26,00;FALSE;55
action;25,67;TRUE;461
Friday;24,00;FALSE;461
minister;23,27;TRUE;554
Biden;21,17;FALSE;461
region;21,00;FALSE;539
Britain;20,00;FALSE;4
week;20,00;FALSE;4
Emmanuel;16,00;FALSE;55
country;15,87;TRUE;41
Australia;15,00;FALSE;4
figure;15,00;FALSE;539
year;15,00;FALSE;539
donetsk;14,00;FALSE;150
deal;13,38;FALSE;41
war;12,83;TRUE;52
people;12,00;TRUE;150
step;12,00;FALSE;554
protest;12,00;FALSE;227
effort;11,00;FALSE;4
Anton;11,00;FALSE;35
time;10,00;FALSE;4
move;10,00;FALSE;4
nation;9,00;FALSE;55
membership;8,73;TRUE;554
Eurasia;8,25;FALSE;41
programme;8,25;FALSE;41
rhetoric;8,25;FALSE;41
build;8,00;FALSE;461
strike;7,67;FALSE;461
east;7,00;FALSE;150
Moscow;7,00;TRUE;4
home;6,67;FALSE;52
capital;6,67;TRUE;554
advice;6,67;FALSE;554
Boris;6,27;FALSE;554
recognition;6,25;FALSE;41
fire;6,00;FALSE;12
plane;5,73;FALSE;52
conflict;5,67;FALSE;41
lie;5,00;FALSE;150
defeat;4,56;FALSE;41
agreement;4,52;FALSE;41
border;4,00;TRUE;461
power;4,00;TRUE;81
defence;4,00;TRUE;12
independence;3,00;FALSE;199
good;2,86;FALSE;41
service;2,86;FALSE;41
travel;2,86;FALSE;41
church;2,86;FALSE;41
actor;2,86;FALSE;41
Kravchuk;2,00;FALSE;199
opposition;2,00;FALSE;140
decision;1,83;FALSE;461
number;1,83;FALSE;554
prayer;1,60;FALSE;554
ally;1,00;TRUE;461
offer;1,00;FALSE;55
shield;1,00;FALSE;12
involvement;0,92;FALSE;41
kyiv;0,62;TRUE;52
secretary;0,62;FALSE;52
kilometre;0,62;FALSE;52
Antony;0,62;FALSE;52
Blinken;0,62;FALSE;52
siege;0,62;FALSE;52
ga;0,62;FALSE;41
exchange;0,62;FALSE;41
lease;0,62;FALSE;41
navy;0,62;FALSE;41
port;0,62;FALSE;41
help;0,17;FALSE;461
Joe;0,17;FALSE;461
Belarus;0,00;TRUE;150
AP;0,00;FALSE;150
genocide;0,00;TRUE;150
conference;0,00;FALSE;150
source;0,00;FALSE;150
word;0,00;FALSE;150
civilian;0,00;FALSE;150
spetsnaz;0,00;FALSE;150
republics;0,00;FALSE;150
cent;0,00;FALSE;150
survey;0,00;FALSE;150
pew;0,00;FALSE;150
spirit;0,00;FALSE;150
culture;0,00;FALSE;150
tragedy;0,00;FALSE;150
drift;0,00;FALSE;150
embrace;0,00;FALSE;150
Nikolai;0,00;FALSE;150
Chatham;0,00;FALSE;150
feel;0,00;FALSE;150
infrastructure;0,00;FALSE;150
opponent;0,00;FALSE;150
root;0,00;FALSE;150
annex;0,00;FALSE;150
rebel;0,00;FALSE;150
uprise;0,00;FALSE;150
establishment;0,00;FALSE;150
evacuation;0,00;FALSE;150
traffic;0,00;FALSE;150
possibility;0,00;FALSE;150
run;0,00;FALSE;150
delegation;0,00;FALSE;52
authority;0,00;FALSE;52
direction;0,00;FALSE;52
UN;0,00;FALSE;52
shell;0,00;FALSE;52
airstrike;0,00;FALSE;52
video;0,00;FALSE;52
security;0,00;TRUE;52
council;0,00;FALSE;52
passenger;0,00;FALSE;52
route;0,00;FALSE;52
Amsterdam;0,00;FALSE;52
Kuala;0,00;FALSE;52
Lumpur;0,00;FALSE;52
servant;0,00;FALSE;52
visit;0,00;FALSE;52
sang-froid;0,00;FALSE;52
zelenskiy;0,00;FALSE;52
site;0,00;FALSE;52
object;0,00;FALSE;52
apartment;0,00;FALSE;52
block;0,00;FALSE;52
rocket;0,00;FALSE;52
pressure;0,00;FALSE;52
refusal;0,00;FALSE;52
assault;0,00;FALSE;52
draft;0,00;FALSE;52
justification;0,00;FALSE;52
place;0,00;FALSE;52
law;0,00;FALSE;52
secretary-general;0,00;FALSE;52
Antonio;0,00;FALSE;52
Guterres;0,00;FALSE;52
shelter;0,00;FALSE;41
trigger;0,00;FALSE;41
November;0,00;FALSE;41
ty;0,00;FALSE;41
rally;0,00;FALSE;41
investigator;0,00;FALSE;41
corruption;0,00;FALSE;41
thing;0,00;FALSE;41
siren;0,00;FALSE;41
resident;0,00;FALSE;41
refuge;0,00;FALSE;41
raid;0,00;FALSE;41
front;0,00;FALSE;41
advance;0,00;FALSE;41
expansion;0,00;FALSE;41
research;0,00;FALSE;41
fellow;0,00;FALSE;41
majority;0,00;FALSE;41
favour;0,00;FALSE;41
back;0,00;FALSE;41
worker;0,00;FALSE;41
name;0,00;FALSE;41
humanity;0,00;FALSE;41
rage;0,00;FALSE;4
explosion;0,00;TRUE;4
quarter;0,00;FALSE;4
Minsk;0,00;FALSE;4
address;0,00;FALSE;4
Ben;0,00;FALSE;4
series;0,00;FALSE;4
preparation;0,00;FALSE;4
assessment;0,00;FALSE;4
yanukovich;0,00;FALSE;4
businessman;0,00;FALSE;4
weapon;0,00;FALSE;4
party;0,00;FALSE;4
spring;0,00;FALSE;4
bayraktar;0,00;FALSE;4
drone;0,00;FALSE;4
north;0,00;FALSE;4
flag;0,00;FALSE;4
anthem;0,00;FALSE;4
unison;0,00;FALSE;4
date;0,00;FALSE;4
media;0,00;FALSE;4
statehood;0,00;FALSE;4
order;0,00;FALSE;4
certification;0,00;FALSE;4
Nord;0,00;FALSE;4
stream;0,00;FALSE;4
pipeline;0,00;FALSE;4
demilitarise;0,00;FALSE;4
peace;0,00;FALSE;4
wave;0,00;FALSE;4
vision;0,00;FALSE;4
cause;0,00;FALSE;4
America;0,00;FALSE;4
Japan;0,00;FALSE;4
Canada;0,00;FALSE;4
top;0,00;FALSE;4
penalty;0,00;FALSE;4
chief;0,00;FALSE;4
China;0,00;FALSE;4
decade;0,00;FALSE;4
charge;0,00;FALSE;4
Hungary;0,00;FALSE;4
affair;0,00;FALSE;4
William;0,00;FALSE;4
act;0,00;FALSE;4
August;0,00;FALSE;4
plot;0,00;FALSE;4
2019;0,00;FALSE;4
loss;0,00;FALSE;4
life;0,00;FALSE;4
suffer;0,00;FALSE;4
declaration;0,00;FALSE;4
status;0,00;FALSE;4
pm;0,00;FALSE;4
Scott;0,00;FALSE;4
Morrison;0,00;FALSE;4
Jens;0,00;FALSE;4
Stoltenberg;0,00;FALSE;4
diplomacy;0,00;FALSE;4
gunfire;0,00;TRUE;461
vehicle;0,00;FALSE;461
snowplow;0,00;FALSE;461
limit;0,00;FALSE;461
movement;0,00;FALSE;461
spy;0,00;FALSE;461
fight;0,00;FALSE;461
meet;0,00;FALSE;461
scale;0,00;FALSE;461
Chernobyl;0,00;FALSE;461
plant;0,00;FALSE;461
guarantee;0,00;FALSE;461
morn;0,00;FALSE;461
timeline;0,00;FALSE;461
month;0,00;FALSE;461
Dec;0,00;FALSE;461
standby;0,00;FALSE;461
part;0,00;FALSE;461
horror;0,00;FALSE;461
way;0,00;FALSE;461
tank;0,00;FALSE;461
roll;0,00;FALSE;461
Daniel;0,00;FALSE;461
Keane;0,00;FALSE;461
uncertainty;0,00;FALSE;461
objection;0,00;FALSE;461
group;0,00;FALSE;461
speech;0,00;FALSE;461
fear;0,00;FALSE;461
theatre;0,00;FALSE;461
amendment;0,00;FALSE;461
partner;0,00;FALSE;461
institution;0,00;FALSE;461
moment;0,00;FALSE;461
new;0,00;FALSE;130
soldier;0,00;TRUE;130
drug;0,00;FALSE;130
addict;0,00;FALSE;130
neo-nazis;0,00;FALSE;130
agency;0,00;FALSE;81
Vladimir;0,00;TRUE;81
spokesman;0,00;FALSE;81
Dmitry;0,00;FALSE;81
Peskov;0,00;FALSE;81
economy;0,00;FALSE;81
european;0,00;FALSE;81
Zelenskys;0,00;FALSE;81
whereabout;0,00;FALSE;81
Magdalena;0,00;FALSE;81
Andersson;0,00;FALSE;81
Viktor;0,00;FALSE;81
moratorium;0,00;FALSE;81
diplomat;0,00;FALSE;55
caution;0,00;FALSE;55
plan;0,00;FALSE;55
xi;0,00;FALSE;55
reporter;0,00;FALSE;55
aggression;0,00;TRUE;55
family;0,00;FALSE;55
hand;0,00;FALSE;55
whole;0,00;FALSE;55
sky;0,00;FALSE;55
coast;0,00;FALSE;55
Leonid;0,00;FALSE;55
republic;0,00;FALSE;55
Yushchenko;0,00;FALSE;55
energy;0,00;FALSE;55
company;0,00;FALSE;55
boss;0,00;FALSE;55
in-fight;0,00;FALSE;55
camp;0,00;FALSE;55
July;0,00;FALSE;55
Donald;0,00;FALSE;55
Trump;0,00;FALSE;55
rival;0,00;FALSE;55
race;0,00;FALSE;55
son;0,00;FALSE;55
Hunter;0,00;FALSE;55
business;0,00;FALSE;55
March;0,00;FALSE;55
June;0,00;FALSE;55
IMF;0,00;FALSE;55
lifeline;0,00;FALSE;55
kremlin;0,00;FALSE;55
exercise;0,00;FALSE;55
Oct;0,00;FALSE;55
2021;0,00;FALSE;55
autumn;0,00;FALSE;55
present;0,00;FALSE;55
activity;0,00;FALSE;55
Beijing;0,00;FALSE;55
winter;0,00;FALSE;55
olympics;0,00;FALSE;55
support;0,00;FALSE;55
department;0,00;FALSE;55
american;0,00;FALSE;55
base;0,00;FALSE;55
parliament;0,00;FALSE;55
russian-back;0,00;FALSE;55
ambassador;0,00;FALSE;55
organization;0,00;FALSE;55
Michael;0,00;FALSE;55
Carpenter;0,00;FALSE;55
principle;0,00;FALSE;55
summit;0,00;FALSE;55
sign;0,00;FALSE;55
television;0,00;FALSE;55
contrary;0,00;FALSE;55
pledge;0,00;FALSE;55
J;0,00;FALSE;55
Burns;0,00;FALSE;55
dilemma;0,00;FALSE;55
annexation;0,00;FALSE;55
2014;0,00;FALSE;55
threat;0,00;FALSE;55
solution;0,00;FALSE;55
speaker;0,00;FALSE;55
citizen;0,00;FALSE;55
instability;0,00;FALSE;55
flank;0,00;FALSE;55
individual;0,00;FALSE;55
commission;0,00;FALSE;55
Ursula;0,00;FALSE;55
von;0,00;FALSE;55
der;0,00;FALSE;55
Leyen;0,00;FALSE;55
solidarity;0,00;FALSE;55
France;0,00;FALSE;55
work;0,00;FALSE;55
chancellor;0,00;FALSE;55
Olaf;0,00;FALSE;55
Scholz;0,00;FALSE;55
term;0,00;FALSE;55
reason;0,00;FALSE;55
intimidation;0,00;FALSE;55
Justin;0,00;FALSE;55
Trudeau;0,00;FALSE;55
condition;0,00;FALSE;28
phone;0,00;FALSE;199
airport;0,00;FALSE;199
kill;0,00;FALSE;199
elite;0,00;FALSE;199
event;0,00;FALSE;199
referendum;0,00;FALSE;199
election;0,00;FALSE;199
elect;0,00;FALSE;199
Kuchma;0,00;FALSE;199
observer;0,00;FALSE;199
revolution;0,00;FALSE;199
re-run;0,00;FALSE;199
fact;0,00;FALSE;199
reality;0,00;FALSE;199
death;0,00;FALSE;554
Zelensky;0,00;TRUE;554
capture;0,00;FALSE;554
assassination;0,00;FALSE;554
UK;0,00;FALSE;554
poll;0,00;FALSE;554
rate;0,00;FALSE;554
requirement;0,00;FALSE;554
assistance;0,00;FALSE;554
bloc;0,00;FALSE;554
path;0,00;FALSE;554
bloodsh;0,00;FALSE;554
destruction;0,00;FALSE;554
emergency;0,00;FALSE;554
cobra;0,00;FALSE;554
street;0,00;FALSE;554
operation;0,00;FALSE;22
history;0,00;TRUE;22
Jan;0,00;FALSE;22
hit;0,00;FALSE;22
puppet;0,00;FALSE;22
master;0,00;FALSE;22
product;0,00;FALSE;22
planner;0,00;FALSE;22
accusation;0,00;FALSE;39
propaganda;0,00;FALSE;39
press;0,00;FALSE;56
dawn;0,00;FALSE;56
line;0,00;FALSE;56
car;0,00;FALSE;56
warn;0,00;TRUE;56
ship;0,00;FALSE;56
message;0,00;FALSE;56
combat;0,00;FALSE;56
arm;0,00;FALSE;56
surrender;0,00;FALSE;56
reply;0,00;FALSE;56
F;0,00;FALSE;56
second;0,00;FALSE;56
narrative;0,00;FALSE;56
Lenin;0,00;FALSE;56
expert;0,00;FALSE;56
presence;0,00;FALSE;56
function;0,00;FALSE;56
passport;0,00;FALSE;56
area;0,00;FALSE;35
NATO;0,00;TRUE;35
sea;0,00;FALSE;35
crisis;0,00;FALSE;35
ministry;0,00;FALSE;35
advisor;0,00;FALSE;35
Gerashchenko;0,00;FALSE;35
shot;0,00;FALSE;35
aircraft;0,00;FALSE;35
stock;0,00;FALSE;35
oil;0,00;FALSE;35
aviation;0,00;FALSE;35
city;0,00;TRUE;417
sumy;0,00;FALSE;417
northeast;0,00;FALSE;417
military;0,00;FALSE;12
bridge;0,00;FALSE;12
river;0,00;FALSE;12
side;0,00;FALSE;12
ambition;0,00;FALSE;12
appeal;0,00;FALSE;12
expectation;0,00;FALSE;12
guard;0,00;FALSE;12
island;0,00;FALSE;12
orbit;0,00;FALSE;12
Feb;0,00;FALSE;12
United;0,00;FALSE;12
States;0,00;FALSE;12
Poland;0,00;FALSE;12
Romania;0,00;FALSE;12
spillover;0,00;FALSE;12
aim;0,00;FALSE;12
warplane;0,00;FALSE;12
snake;0,00;FALSE;12
mouth;0,00;FALSE;12
Danube;0,00;FALSE;12
land;0,00;FALSE;12
envoy;0,00;FALSE;12
proxy;0,00;FALSE;12
casualty;0,00;FALSE;487
population;0,00;FALSE;539
period;0,00;FALSE;539
russification;0,00;FALSE;539
textbook;0,00;FALSE;539
school;0,00;FALSE;539
estimate;0,00;FALSE;539
toll;0,00;FALSE;70
zelensky;0,00;FALSE;11
claim;0,00;TRUE;11
objective;0,00;FALSE;11
end;0,00;FALSE;11
policy;0,00;FALSE;11
district;0,00;FALSE;11
package;0,00;FALSE;11
blocs;0,00;FALSE;11
measure;0,00;FALSE;11
culmination;0,00;FALSE;11
neighbour;0,00;FALSE;11
raise;0,00;FALSE;11
anxiety;0,00;FALSE;11
stability;0,00;FALSE;11
Europe;0,00;TRUE;510
army;0,00;TRUE;510
future;0,00;FALSE;510
territory;0,00;FALSE;510
battlefield;0,00;FALSE;510
list;0,00;FALSE;570
demand;0,00;TRUE;299
Washington;0,00;FALSE;299
response;0,00;FALSE;299
commitment;0,00;FALSE;299
discussion;0,00;FALSE;299
concern;0,00;FALSE;299
report;0,00;FALSE;96
outlet;0,00;FALSE;99
goodbye;0,00;FALSE;6
train;0,00;FALSE;6
pretext;0,00;FALSE;6
personnel;0,00;FALSE;13
nationalist;0,00;FALSE;13
children;0,00;FALSE;13
wive;0,00;FALSE;13
elder;0,00;FALSE;13
focus;0,00;FALSE;135
ukrainian;0,00;FALSE;227
vote;0,00;FALSE;227
irregularity;0,00;FALSE;227
candidate;0,00;FALSE;227
Yanukovich;0,00;FALSE;227
allegation;0,00;FALSE;227
square;0,00;FALSE;227
turn;0,00;FALSE;227
officer;0,00;FALSE;156
Wallace;0,00;FALSE;450
mass;0,00;FALSE;450
metro;0,00;FALSE;450
station;0,00;FALSE;450
question;0,00;FALSE;450
mind;0,00;FALSE;450
remain;0,00;FALSE;450
agenda;0,00;FALSE;229
board;0,00;FALSE;237
trump;0,00;FALSE;261
lockdown;0,00;FALSE;263
stave;0,00;FALSE;269
default;0,00;FALSE;269
recession;0,00;FALSE;269
French;0,00;FALSE;140
Macron;0,00;FALSE;140
hope;0,00;FALSE;140
resolution;0,00;FALSE;140
section;0,00;FALSE;140
chess;0,00;FALSE;140
opinion;0,00;FALSE;140
responsibility;0,00;FALSE;140
guilt;0,00;FALSE;140
pack;0,00;FALSE;140
drill;0,00;FALSE;289
fighter;0,00;FALSE;293
jet;0,00;FALSE;293
national;0,00;FALSE;321
regime;0,00;FALSE;340
asset;0,00;FALSE;345
approval;0,00;FALSE;351
hour;0,00;FALSE;361
enemy;0,00;FALSE;133
adviser;0,00;FALSE;133
aspiration;0,00;FALSE;133
Antonov;0,00;FALSE;145
town;0,00;FALSE;379
mile;0,00;FALSE;379
timetable;0,00;FALSE;381
Crimea;0,00;TRUE;112
invader;0,00;FALSE;394
withdrawal;0,00;FALSE;435
game;0,00;FALSE;453
motive;0,00;FALSE;128
cost;0,00;FALSE;459
ground;0,00;FALSE;475
center;0,00;FALSE;488
Monday;0,00;FALSE;106
night;0,00;FALSE;106
effect;0,00;FALSE;106
luhansk;0,00;FALSE;531
inhabitant;0,00;FALSE;542
citizenship;0,00;FALSE;544
evidence;0,00;FALSE;548
application;0,00;FALSE;550
process;0,00;FALSE;550
opportunity;0,00;FALSE;37
contribution;0,00;FALSE;37
tenure;0,00;FALSE;37
mission;0,00;FALSE;559
account;0,00;FALSE;561
dispute;0,00;FALSE;561
anytime;0,00;FALSE;563
shock;0,00;FALSE;564
distance;0,00;FALSE;598
begine;0,00;FALSE;622
century;0,00;FALSE;622
sense;0,00;FALSE;623
aid;0,00;FALSE;627
