name;score;marked;communityId
Ukraine;740,3370797;TRUE;41
Russia;688,9145371;TRUE;41
president;143,9396987;TRUE;461
President;124,2063125;FALSE;55
war;123,6724388;TRUE;52
troop;101,6477199;TRUE;52
border;88,56896693;TRUE;461
Kremlin;87,53108294;TRUE;150
government;83,74844813;TRUE;41
force;83,61600714;TRUE;35
US;81,57206744;FALSE;554
investigator;75,7004428;FALSE;41
world;71,25053002;TRUE;461
house;66,13793059;FALSE;41
minister;64,45796551;TRUE;554
west;63,34852346;TRUE;52
Putin;62,16296111;TRUE;554
kyiv;58,9585267;TRUE;52
russian;57,97577535;FALSE;41
research;54,80500907;FALSE;41
involvement;53,14171634;FALSE;41
sanction;51,85262277;TRUE;554
Moscow;51,8208179;TRUE;4
day;48,43011925;FALSE;41
fellow;48,30518187;FALSE;41
alliance;48,0183666;TRUE;41
AP;0;FALSE;150
conference;0;FALSE;150
word;0;FALSE;150
spetsnaz;0;FALSE;150
pew;0;FALSE;150
drift;0;FALSE;150
embrace;0;FALSE;150
feel;0;FALSE;150
evacuation;0;FALSE;150
run;0;FALSE;150
leader;47,48545831;TRUE;461
association;47,15200984;FALSE;41
agreement;46,83364335;FALSE;41
NATO;46,31652339;TRUE;35
tank;45,30351549;FALSE;461
roll;44,31341648;FALSE;461
Joe;43,97265107;FALSE;461
talk;43,90639137;TRUE;41
eu;43,11729497;FALSE;41
price;41,74508642;FALSE;41
decision;41,17219607;FALSE;461
invasion;39,98224457;TRUE;52
people;39,06282885;TRUE;150
deal;38,83246506;FALSE;41
Feb;38,80948518;FALSE;12
cent;38,62899026;FALSE;150
missile;38,26878414;TRUE;52
Daniel;37,66294012;FALSE;461
Keane;36,67284111;FALSE;461
kilometre;36,50047142;FALSE;52
ga;35,89937725;FALSE;41
country;35,19514357;TRUE;41
UN;34,99862231;FALSE;52
Biden;34,84886405;FALSE;461
ukrainian;34,84394287;FALSE;227
Europe;34,23898484;TRUE;510
promise;32,75767977;FALSE;41
address;31,50627538;FALSE;4
trade;30,81607684;FALSE;41
state;30,79561475;TRUE;52
air;30,68574291;FALSE;35
attack;30,08531663;TRUE;461
action;29,22958246;TRUE;461
Britain;29,17565395;FALSE;4
Australia;28,20975035;FALSE;4
Johnson;27,73519248;FALSE;554
warn;27,38314317;TRUE;56
